psr,array,logE,loud,logE_chrom,DM,d,gold,b,EM,ne,s_path,hii
J1811-2405,NG,-17.677164939230067,False,,60.61997,1.3888888888888888,True,-2.5589975858068486,86.30360813052283,1.4236827918344868,795.7915781400421,1.0
J1843-1113,NG,-17.40182644931168,False,,59.95797,1.707,False,-3.3967728582823646,33.723778164018846,0.562456970508155,842.7833689479613,0.0
J1903+0327,NG,-10.507017334615448,True,,297.5245,6.121,False,-1.0136112626141711,19.72072759083974,0.06628270139380031,4818.296682610258,0.0
J1909-3744,NG,-18.36703346357831,False,,10.39077,1.1627906976744187,True,-19.595809531458215,1.4582032434587646,0.14033639888658536,160.48033164222844,0.0
J1910+1256,NG,-17.694545469453033,False,,38.06725,2.7777777777777777,True,1.7952073741945136,22.483827486563825,0.5906344032354274,533.2214195680355,0.0
J1911+1347,NG,-18.05295176882915,False,,30.97835,2.5,True,1.8091430285080419,6.5655739567631315,0.21194072495026792,465.6741120045073,0.0
J1918-0642,NG,-17.881864360758712,False,,26.58877,1.3333333333333333,True,-9.123077378031462,12.09976600063932,0.4550705429637896,379.37117774946,0.0
J2124-3358,NG,-17.00700321788198,False,,4.5954,0.47619047619047616,True,-45.4375445618311,2.23092857257842,0.48546994224189843,65.27045662900888,0.0
J2234+0611,NG,-16.072384378908623,False,,10.76582,0.970873786407767,True,-43.00569854905338,2.2541297579538084,0.20937836207124105,161.9653836885522,0.0
J2322+2057,NG,-18.02266109060982,False,,13.38275,0.8333333333333334,True,-37.31007139968512,1.8713427829344764,0.1398324546849098,206.73813463352377,0.0
J0125-2327,PPTA,-15.80405889969843,False,-11.048039844173593,9.5974,1.1904761904761905,True,-81.5694036235346,0.535104356692867,0.055755137505247986,157.08622142220005,0.0
J0437-4715,PPTA,-16.189290166137013,False,-12.099234758424753,2.64539,0.15552099533437014,True,-41.96330210387989,1.4526728686661152,0.5491337264698647,37.247642806708676,0.0
J0613-0200,PPTA,-12.684285824616229,False,-12.424819013822706,38.78188,1.0,True,-9.304906562761166,33.46110708381772,0.8628026048200274,528.5335995994972,0.0
J0614-3329,PPTA,-14.8853797726243,False,-9.540791499382625,37.05245,0.6666666666666666,True,-21.827221436320304,12.880407553612958,0.34762633924647246,538.6471145620865,0.0
J0900-3144,PPTA,-14.952936317932378,False,-10.836048215243514,75.6866,0.38,False,9.48612626186998,44.44874480327079,0.587273636327577,1060.6008396028853,1.0
J1024-0719,PPTA,-16.066162612093315,False,-11.68325839490577,6.48699,0.9900990099009901,True,40.51549675637739,2.335101127923716,0.35996681479757425,94.07782328727902,0.0
J1600-3053,PPTA,-16.266250248882663,False,-11.723303537075418,52.3282,1.3888888888888888,True,16.45138128823463,20.54837330687502,0.39268259383802656,754.3397245726086,0.0
J1713+0747,PPTA,-16.91735703740692,False,-13.475872178522291,15.9871,1.1363636363636365,True,25.22283886532782,4.448362140310515,0.27824697038928353,235.97025799331797,0.0
J1744-1134,PPTA,-15.584314518786886,False,-12.810557869389903,3.138334,0.38759689922480617,True,9.179716700109267,14.11919112560866,4.4989447030203475,37.587676845925614,0.0
J1857+0943,PPTA,-13.96060227816246,False,-11.931075136592387,13.29843,1.1235955056179776,True,3.0604160265370965,28.81339963146207,2.16667679052806,168.9911379808602,0.0
J1902-5105,PPTA,-14.249574342584978,False,-12.59244519689361,36.2505,1.646,False,-22.378627779296625,4.983830984959935,0.1374830963699793,560.615778201749,0.0
J1909-3744,PPTA,-16.899136290677024,False,-13.011448812640406,10.39077,1.1627906976744187,True,-19.595809531458215,1.4582032434587646,0.14033639888658536,160.48033164222844,0.0
J1933-6211,PPTA,-14.684826895705474,False,-15.771270788911119,11.51476,1.4285714285714286,True,-28.63149660041643,2.188374964015437,0.19004955066501053,174.34804038809636,0.0
J2124-3358,PPTA,-15.664077684960931,False,-16.969665329331146,4.5954,0.47619047619047616,True,-45.4375445618311,2.23092857257842,0.48546994224189843,65.27045662900888,0.0
